,playerName,primNat,pos,formClub,formNation,newClub,newNation,transferCost,transferYear
11109,Iván Barbero,Spain,Centre-Forward,CA Osasuna Promesas,Spain,CA Osasuna,Spain,0.0,2019
11110,Juan Pérez,Spain,Goalkeeper,CA Osasuna Promesas,Spain,CA Osasuna,Spain,0.0,2019
11111,Jon Moncayola,Spain,Central Midfield,CA Osasuna Promesas,Spain,CA Osasuna,Spain,0.0,2019
11112,Lillo Castellano,Spain,Right-Back,CA Osasuna,Spain,Maccabi Haifa,Israel,0.0,2019
11113,Carlos Clerc,Spain,Left-Back,CA Osasuna,Spain,Levante UD,Spain,0.0,2019
11114,Imanol García,Spain,Central Midfield,CA Osasuna,Spain,Córdoba CF,Spain,0.0,2019
11115,David Rodríguez,Spain,Centre-Forward,CA Osasuna,Spain,Racing Santander,Spain,0.0,2019
11116,Miguel Díaz,Spain,Attacking Midfield,CA Osasuna,Spain,CD Tudelano,Spain,0.0,2019
11119,Darwin Machís,Venezuela,Left Winger,Udinese Calcio,Italy,Granada CF,Spain,5000000.0,2019
11120,Domingos Duarte,Portugal,Centre-Back,Sporting CP,Portugal,Granada CF,Spain,3490000.0,2019
11121,Antoñín,Spain,Centre-Forward,Málaga CF,Spain,Granada CF,Spain,1500000.0,2019
11122,Yan Eteki,Cameroon,Defensive Midfield,Sevilla FC,Spain,Granada CF,Spain,1000000.0,2019
11123,Fede Vico,Spain,Attacking Midfield,CD Leganés,Spain,Granada CF,Spain,250000.0,2019
11124,Roberto Soldado,Spain,Centre-Forward,Fenerbahce,Turkey,Granada CF,Spain,0.0,2019
11125,Neyder Lozano,Colombia,Centre-Back,Elche CF,Spain,Granada CF,Spain,0.0,2019
11126,Ismail Köybasi,Turkey,Left-Back,Fenerbahce,Turkey,Granada CF,Spain,0.0,2019
11127,Carlos Neva,Spain,Left-Back,Recreativo Granada,Spain,Granada CF,Spain,0.0,2019
11128,Adrián Castellano,Spain,Left-Back,Granada CF,Spain,CD Numancia,Spain,300000.0,2019
11129,Sergio Peña,Peru,Central Midfield,Granada CF,Spain,FC Emmen,Netherlands,0.0,2019
11130,Raúl Baena,Spain,Central Midfield,Granada CF,Spain,Atromitos Athens,Greece,0.0,2019
11131,Pablo Vázquez,Spain,Centre-Back,Granada CF,Spain,CD Badajoz,Spain,0.0,2019
11132,Adrián Ramos,Colombia,Centre-Forward,Granada CF,Spain,CD América de Cali,Colombia,0.0,2019
11137,Ante Budimir,Croatia,Centre-Forward,FC Crotone,Italy,RCD Mallorca,Spain,2200000.0,2019
