,playerName,primNat,pos,formClub,formNation,newClub,newNation,transferCost,transferYear
13584,Gianluigi Donnarumma,Italy,Goalkeeper,AC Milan,Italy,Paris Saint-Germain,France,0.0,2021
13585,Edouard Michut,France,Central Midfield,Paris Saint-Germain U19,France,Paris Saint-Germain,France,0.0,2021
13586,Teddy Alloh,France,Left-Back,Paris Saint-Germain U19,France,Paris Saint-Germain,France,0.0,2021
13587,Nathan Bitumazala,France,Attacking Midfield,Paris Saint-Germain U19,France,Paris Saint-Germain,France,0.0,2021
13588,Anfane Ahamada,Comoros,Defensive Midfield,Paris Saint-Germain U19,France,Paris Saint-Germain,France,0.0,2021
13589,Tidjany Touré,France,Left Winger,Paris Saint-Germain U19,France,Paris Saint-Germain,France,0.0,2021
13590,Kenny Nagera,France,Centre-Forward,Paris Saint-Germain U19,France,Paris Saint-Germain,France,0.0,2021
13591,Denis Franchi,Italy,Goalkeeper,Paris Saint-Germain U19,France,Paris Saint-Germain,France,0.0,2021
13592,Thierno Baldé,France,Right-Back,Paris Saint-Germain U19,France,Paris Saint-Germain,France,0.0,2021
13593,Xavi Simons,Netherlands,Attacking Midfield,Paris Saint-Germain U19,France,Paris Saint-Germain,France,0.0,2021
13594,Mitchel Bakker,Netherlands,Left-Back,Paris Saint-Germain,France,Bayer 04 Leverkusen,Germany,7000000.0,2021
13595,Kays Ruiz-Atil,Morocco,Central Midfield,Paris Saint-Germain,France,FC Barcelona B,Spain,0.0,2021
13596,Bandiougou Fadiga,France,Attacking Midfield,Paris Saint-Germain,France,Paris Saint-Germain B,France,0.0,2021
13597,Myron Boadu,Netherlands,Centre-Forward,AZ Alkmaar,Netherlands,AS Monaco,France,17000000.0,2021
13598,Vanderson,Brazil,Right-Back,Grêmio Foot-Ball Porto Alegrense,Brazil,AS Monaco,France,11000000.0,2021
13599,Jean Lucas,Brazil,Central Midfield,Olympique Lyon,France,AS Monaco,France,11000000.0,2021
13600,Ismail Jakobs,Senegal,Left-Back,1.FC Köln,Germany,AS Monaco,France,6500000.0,2021
13601,Benjamin Henrichs,Germany,Right-Back,AS Monaco,France,RB Leipzig,Germany,15000000.0,2021
13602,Fodé Ballo-Touré,Senegal,Left-Back,AS Monaco,France,AC Milan,Italy,5400000.0,2021
13603,Henry Onyekuru,Nigeria,Left Winger,AS Monaco,France,Olympiacos Piraeus,Greece,4500000.0,2021
13604,Wilson Isidor,France,Centre-Forward,AS Monaco,France,Lokomotiv Moscow,Russia,3500000.0,2021
13605,Giulian Biancone,France,Right-Back,AS Monaco,France,ESTAC Troyes,France,2500000.0,2021
