,playerName,primNat,pos,formClub,formNation,newClub,newNation,transferCost,transferYear
2054,Roby Langers,Luxembourg,Centre-Forward,US Orléans 45,France,OGC Nice,France,?,1989
2055,Pascal Gastien,France,Defensive Midfield,Chamois Niortais FC,France,OGC Nice,France,?,1989
2056,Frédéric Gioria,France,Midfield,OGC Nice B,France,OGC Nice,France,0.0,1989
2057,Philippe Mazzuchetti,France,Attacking Midfield,OGC Nice B,France,OGC Nice,France,0.0,1989
2058,Pascal Macri,France,Midfield,OGC Nice B,France,OGC Nice,France,0.0,1989
2059,Juan Gilberto Funes,Argentina,Attack,OGC Nice,France,CA Vélez Sarsfield,Argentina,0.0,1989
2060,Eric Guérit,France,Defensive Midfield,OGC Nice,France,AS Monaco,France,?,1989
2061,Philippe N'Dioro,Cameroon,Attack,OGC Nice,France,AS Red Star 93,France,?,1989
2062,Jean-Pierre Bosser,France,Centre-Back,OGC Nice,France,Paris Saint-Germain,France,?,1989
2063,Thierry Oleksiak,France,Defensive Midfield,OGC Nice,France,FC Metz,France,?,1989
2064,Daniel Bravo,France,Central Midfield,OGC Nice,France,Paris Saint-Germain,France,?,1989
2065,Hervé Blanc,France,Right-Back,OGC Nice,France,OGC Nice B,France,0.0,1989
2066,Peter Reichert,Germany,Centre-Forward,RC Strasbourg Alsace,France,FC Toulouse,France,?,1989
2067,Jean-Christophe Debu,France,Left-Back,Racing Club Paris,France,FC Toulouse,France,?,1989
2068,Anthony Bancarel,France,Centre-Forward,Toulouse FC U19,France,FC Toulouse,France,0.0,1989
2069,Jean-François Hernandez,France,Centre-Back,Toulouse FC B,France,FC Toulouse,France,0.0,1989
2070,Olivier Pédémas,France,Goalkeeper,Toulouse FC U19,France,FC Toulouse,France,0.0,1989
2071,Nicolas Bastère,France,Attack,Toulouse FC B,France,FC Toulouse,France,0.0,1989
2072,Jean-Philippe Durand,France,Central Midfield,FC Toulouse,France,FC Girondins Bordeaux,France,?,1989
2073,Didier Casini,France,Right-Back,FC Toulouse,France,FC Metz,France,?,1989
2076,Hervé Broca,France,Defence,FC Toulouse,France,Toulouse FC B,France,0.0,1989
2077,Dragoljub Brnovic,Montenegro,Midfield,FK Partizan Belgrade,Serbia,FC Metz,France,0.0,1989
2078,Bernard Lama,France,Goalkeeper,LOSC Lille,France,FC Metz,France,?,1989
2079,Nebojsa Vucicevic,Serbia,Attacking Midfield,FK Partizan Belgrade,Serbia,FC Metz,France,?,1989
2080,Alain Bénédet,France,Midfield,Nîmes Olympique,France,FC Metz,France,?,1989
2081,Kamel Djahmoune,Algeria,Midfield,MC Algiers,Algeria,FC Metz,France,?,1989
2082,Didier Casini,France,Right-Back,FC Toulouse,France,FC Metz,France,?,1989
2083,Carmelo Micciche,France,Centre-Forward,Olympique Marseille,France,FC Metz,France,?,1989
2084,Thierry Oleksiak,France,Defensive Midfield,OGC Nice,France,FC Metz,France,?,1989
2085,Laurent Fantauzzo,France,Midfield,FC Metz B,France,FC Metz,France,0.0,1989
2086,Eric Denizart,France,Defence,FC Metz,France,FC Lorient,France,?,1989
2087,Michel Deza,France,Attack,FC Metz,France,FC Lorient,France,?,1989
2088,Antoine Pfrunner,France,Centre-Back,FC Metz,France,USL Dunkerque,France,?,1989
2089,Jean-Marc Rodolphe,France,Goalkeeper,FC Metz,France,Sporting Étoile Club Bastia ,France,?,1989
2090,Michel Rio,France,Attacking Midfield,FC Metz,France,SM Caen,France,?,1989
2091,Carmelo Micciche,France,Centre-Forward,FC Metz,France,Olympique Marseille,France,?,1989
2092,Jean-Louis Zanon,France,Defensive Midfield,FC Metz,France,Nîmes Olympique,France,?,1989
2093,Daniel Krawczyk,France,Midfield,FC Metz,France,AS Beauvais Oise,France,?,1989
2094,Enzo Scifo,Belgium,Attacking Midfield,FC Girondins Bordeaux,France,AJ Auxerre,France,?,1989
2095,Kálmán Kovács,Hungary,Centre-Forward,Kispest–Honvéd FC,Hungary,AJ Auxerre,France,?,1989
2096,Richard Njok,Cameroon,Centre-Forward,AS Saint-Priest,France,AJ Auxerre,France,?,1989
2097,Christophe Messager,France,Defence,AS Beauvais Oise,France,AJ Auxerre,France,?,1989
2098,Thierry Taberner,France,Defence,Sporting Club de Toulon et du Var,France,AJ Auxerre,France,?,1989
2099,Franco Vignola,France,Attack,AJ Auxerre B,France,AJ Auxerre,France,0.0,1989
2100,Christophe Remy,France,Left-Back,AJ Auxerre U19,France,AJ Auxerre,France,0.0,1989
2101,Bernard Ferrer,France,Attacking Midfield,AJ Auxerre,France,Brest Armorique FC,France,?,1989
2102,Didier Monczuk,France,Centre-Forward,AJ Auxerre,France,RC Strasbourg Alsace,France,?,1989
2103,Marko Mlinaric,Croatia,Left Midfield,AJ Auxerre,France,AS Cannes,France,?,1989
2104,Eric Géraldes,France,Attack,AJ Auxerre,France,RC Strasbourg Alsace,France,?,1989
2105,Jocelyn Monate,France,Attack,AJ Auxerre,France,Association sportive Saint-Seurin,France,?,1989
2106,Chris Waddle,England,Attacking Midfield,Tottenham Hotspur,England,Olympique Marseille,France,5400000.0,1989
2107,Didier Deschamps,France,Defensive Midfield,FC Nantes,France,Olympique Marseille,France,510000.0,1989
2108,Enzo Francescoli,Uruguay,Centre-Forward,Racing Club Paris,France,Olympique Marseille,France,?,1989
2109,Pascal Rousseau,France,Goalkeeper,Stade Lavallois,France,Olympique Marseille,France,?,1989
2110,Carmelo Micciche,France,Centre-Forward,FC Metz,France,Olympique Marseille,France,?,1989
2111,Jean Tigana,France,Central Midfield,FC Girondins Bordeaux,France,Olympique Marseille,France,?,1989
2112,Alain Roche,France,Centre-Back,FC Girondins Bordeaux,France,Olympique Marseille,France,?,1989
2113,Jean Castaneda,France,Goalkeeper,AS Saint-Étienne,France,Olympique Marseille,France,?,1989
2114,Carlos Mozer,Brazil,Centre-Back,SL Benfica,Portugal,Olympique Marseille,France,?,1989
2115,Manuel Amoros,France,Right-Back,AS Monaco,France,Olympique Marseille,France,?,1989
2116,Pascal Gastien,France,Defensive Midfield,Olympique Marseille,France,Chamois Niortais FC,France,?,1989
2117,Gérard Bernardet,France,Attacking Midfield,Olympique Marseille,France,Sporting Club de Toulon et du Var,France,?,1989
2118,Carmelo Micciche,France,Centre-Forward,Olympique Marseille,France,FC Metz,France,?,1989
2119,Klaus Allofs,Germany,Centre-Forward,Olympique Marseille,France,FC Girondins Bordeaux,France,?,1989
2120,Yvon Le Roux,France,Centre-Back,Olympique Marseille,France,Paris Saint-Germain,France,?,1989
2121,Patrice Eyraud,France,Defensive Midfield,Olympique Marseille,France,FC Nantes,France,?,1989
2122,Didier Santini,France,Left-Back,Olympique Marseille,France,Sporting Étoile Club Bastia ,France,?,1989
2123,Frédéric Meyrieu,France,Attacking Midfield,Olympique Marseille,France,FC Girondins Bordeaux,France,?,1989
2125,Patrick Blondeau,France,Right-Back,FC Martigues,France,AS Monaco,France,0.0,1989
2126,Roger Mendy,Senegal,Sweeper,Sporting Club de Toulon et du Var,France,AS Monaco,France,?,1989
2127,Ramón Díaz,Argentina,Centre-Forward,FC Internazionale,Italy,AS Monaco,France,?,1989
2128,Benjamin Clément,France,Defensive Midfield,AS Red Star 93,France,AS Monaco,France,?,1989
2129,Joe Nagbe,Liberia,Central Midfield,Stade de Vallauris,France,AS Monaco,France,?,1989
2130,Eric Guérit,France,Defensive Midfield,OGC Nice,France,AS Monaco,France,?,1989
2131,Manuel Amoros,France,Right-Back,AS Monaco,France,Olympique Marseille,France,?,1989
2132,Patrick Battiston,France,Centre-Back,AS Monaco,France,FC Girondins Bordeaux,France,?,1989
2133,Roland Piselli,France,Midfield,AS Monaco,France,AS Monaco B,Monaco,0.0,1989
2134,Dominique Corroyer,France,Centre-Forward,US Valenciennes-Anzin Arrondissement,France,AS Saint-Étienne,France,?,1990
2135,Loïc Lambert,France,Defensive Midfield,Stade Lavallois,France,AS Saint-Étienne,France,?,1990
2136,Thierry Laurey,France,Defensive Midfield,Paris Saint-Germain,France,AS Saint-Étienne,France,?,1990
2137,Jean-Pierre Cyprien,France,Centre-Back,Le Havre AC,France,AS Saint-Étienne,France,?,1990
2138,Sylvain Kastendeuch,France,Sweeper,FC Metz,France,AS Saint-Étienne,France,?,1990
2139,Jean-Claude Pagal,Cameroon,Defensive Midfield,La Roche Vendée Football,France,AS Saint-Étienne,France,?,1990
2140,Lubomir Moravcik,Slovakia,Attacking Midfield,FC Nitra,Slovakia,AS Saint-Étienne,France,?,1990
2141,David Brockers,France,Midfield,AS Saint-Étienne B,France,AS Saint-Étienne,France,0.0,1990
2142,Rob Witschge,Netherlands,Left Midfield,AS Saint-Étienne,France,Feyenoord Rotterdam,Netherlands,681000.0,1990
2143,Alain Geiger,Switzerland,Centre-Back,AS Saint-Étienne,France,FC Sion,Switzerland,?,1990
2144,Vincent Chicharo,France,Attack,AS Saint-Étienne,France,SAS Epinal,France,?,1990
2145,Gérard Placide,France,Defence,AS Saint-Étienne,France,AS Lyon-Duchère,France,?,1990
2146,Pierre Haon,France,Defensive Midfield,AS Saint-Étienne,France,FC Metz,France,?,1990
2147,Laurent Fournier,France,Defensive Midfield,AS Saint-Étienne,France,Olympique Marseille,France,?,1990
2148,Mohamed Chaouch,Morocco,Centre-Forward,AS Saint-Étienne,France,FC Istres Ville Nouvelle ,France,?,1990
2150,Philippe Durieu,France,Midfield,AS Saint-Étienne,France,AS Saint-Étienne B,France,0.0,1990
2151,Xavier Recober,France,Defence,Unknown,N/A,Brest Armorique FC,France,?,1990
2152,Richard Honorine,France,Left-Back,AS Nancy-Lorraine,France,Brest Armorique FC,France,?,1990
2153,Diaby Sékana,Cote d'Ivoire,Defence,Racing Club Paris,France,Brest Armorique FC,France,?,1990
2154,Goran Milojevic,Serbia,Midfield,FK Partizan Belgrade,Serbia,Brest Armorique FC,France,?,1990
2155,Goran Milanko,Croatia,Central Midfield,HNK Hajduk Split,Croatia,Brest Armorique FC,France,?,1990
2156,David Ginola,France,Left Winger,Racing Club Paris,France,Brest Armorique FC,France,?,1990
2157,Bernard Lama,France,Goalkeeper,FC Metz,France,Brest Armorique FC,France,?,1990
2158,Michel Milojevic,Serbia,Centre-Back,Racing Club Paris,France,Brest Armorique FC,France,?,1990
2159,Pegguy Arphexad,France,Goalkeeper,Brest Armorique FC,France,LOSC Lille,France,?,1990
2160,Roberto Cabañas,Paraguay,Centre-Forward,Brest Armorique FC,France,Olympique Lyon,France,?,1990
2161,Claude Barrabé,France,Goalkeeper,Brest Armorique FC,France,Montpellier HSC,France,?,1990
2162,Stéphane Plancque,France,Defensive Midfield,Brest Armorique FC,France,FC Girondins Bordeaux,France,?,1990
2163,Gérard Buscher,France,Centre-Forward,Brest Armorique FC,France,US Valenciennes-Anzin Arrondissement,France,?,1990
2164,Yann Daniélou,France,Centre-Back,Brest Armorique FC,France,EA Guingamp,France,?,1990
2165,Patrick Colleter,France,Left-Back,Brest Armorique FC,France,Montpellier HSC,France,?,1990
2166,Patrice Lagadec,France,Defence,Brest Armorique FC,France,Stade Brest 29 B,France,0.0,1990
2167,Fabien Debotté,France,Defensive Midfield,Sporting Club de Toulon et du Var,France,SM Caen,France,?,1990
2168,Joël Germain,France,Centre-Back,US Orléans 45,France,SM Caen,France,?,1990
2169,Benoît Cauet,France,Central Midfield,Olympique Marseille,France,SM Caen,France,?,1990
2170,Piet den Boer,Netherlands,Centre-Forward,FC Girondins Bordeaux,France,SM Caen,France,?,1990
2171,Philippe Avenet,France,Defensive Midfield,Racing Club Paris,France,SM Caen,France,?,1990
2172,Hippolyte Dangbeto,Benin,Right-Back,Racing Club Paris,France,SM Caen,France,?,1990
2173,Jesper Olsen,Denmark,Left Midfield,FC Girondins Bordeaux,France,SM Caen,France,?,1990
2174,François Lemasson,France,Goalkeeper,Olympique Lyon,France,SM Caen,France,?,1990
2175,Brian Stein,England,Centre-Forward,SM Caen,France,FC Annecy,France,?,1990
2176,Olivier Pichard,France,Attack,SM Caen,France,La Roche Vendée Football,France,?,1990
2177,Jacques Philip,France,Defence,SM Caen,France,US Avranches,France,?,1990
2178,Loïc Pérard,France,Defensive Midfield,SM Caen,France,AS Nancy-Lorraine,France,?,1990
2179,Jean-Pierre Avrillon,France,Left-Back,SM Caen,France,Stade Reims,France,?,1990
2180,Eric Bala,France,Defence,SM Caen,France,AS Red Star 93,France,?,1990
2181,Eric Dewilder,France,Midfield,SM Caen,France,FC Sochaux-Montbéliard,France,?,1990
2182,Jean-Yves Hours,France,Goalkeeper,SM Caen,France,FC Sète 34,France,?,1990
2183,Pape Fall,Senegal,Right-Back,SM Caen,France,FC Saint-Lô Manche,France,?,1990
2184,Éric Péan,France,Sweeper,SM Caen,France,Sporting Club de Toulon et du Var,France,?,1990
2185,Philippe Montanier,France,Goalkeeper,SM Caen,France,FC Nantes,France,?,1990
2187,Oleksandr Zavarov,Ukraine,Attacking Midfield,Juventus FC,Italy,AS Nancy-Lorraine,France,0.0,1990
2188,Loïc Pérard,France,Defensive Midfield,SM Caen,France,AS Nancy-Lorraine,France,?,1990
2189,Didier Danio,France,Defensive Midfield,Stade Reims,France,AS Nancy-Lorraine,France,?,1990
2190,Claude Barret,France,Left-Back,AJ Auxerre,France,AS Nancy-Lorraine,France,?,1990
2191,Lilian Martin,France,Right-Back, 	Union sportive de la Jeunesse d'origine arménienne de Valence,France,AS Nancy-Lorraine,France,?,1990
2192,Nenad Stojkovic,Serbia,Centre-Back,FC Mulhouse Sud-Alsace,France,AS Nancy-Lorraine,France,?,1990
2193,Afonso Martins,Portugal,Left Midfield,AS Nancy-Lorraine B,France,AS Nancy-Lorraine,France,0.0,1990
2194,Michel Engel,France,Midfield,AS Nancy-Lorraine B,France,AS Nancy-Lorraine,France,0.0,1990
2195,Éric Rabésandratana,Madagascar,Defensive Midfield,AS Nancy-Lorraine U19,France,AS Nancy-Lorraine,France,0.0,1990
2196,Fernando Zappia,Argentina,Sweeper,AS Nancy-Lorraine,France,Club Atlético Atlanta,Argentina,?,1990
2197,Slavoljub Nikolić,Serbia,Midfield,AS Nancy-Lorraine,France,EA Guingamp,France,?,1990
2198,Salvojub Nikolic,Serbia,Midfield,AS Nancy-Lorraine,France,EA Guingamp,France,?,1990
2199,Jean-Didier Leuregans,France,Midfield,AS Nancy-Lorraine,France,SAS Epinal,France,?,1990
2200,Claude Deplanche,France,Centre-Back,AS Nancy-Lorraine,France,SAS Epinal,France,?,1990
2201,Richard Honorine,France,Left-Back,AS Nancy-Lorraine,France,Brest Armorique FC,France,?,1990
2202,Bernard Bureau,France,Right Winger,AS Nancy-Lorraine,France,Stade Reims,France,?,1990
2204,Claude Fichaux,France,Centre-Back,FC Mulhouse Sud-Alsace,France,LOSC Lille,France,0.0,1990
2205,Pegguy Arphexad,France,Goalkeeper,Brest Armorique FC,France,LOSC Lille,France,?,1990
2206,Antoine Cervetti,France,Left-Back,Chamois Niortais FC,France,LOSC Lille,France,?,1990
2207,François Brisson,France,Left Winger,Olympique Lyon,France,LOSC Lille,France,?,1990
2208,Bertrand Reuzeau,France,Right-Back,Olympique Marseille,France,LOSC Lille,France,?,1990
2209,Michael Mio-Nielsen,Denmark,Right-Back,BK Frem,Denmark,LOSC Lille,France,?,1990
2210,Henrik Nielsen,Denmark,Centre-Forward,Greve Fodbold,Denmark,LOSC Lille,France,?,1990
2211,Éric Assadourian,Armenia,Right Winger,FC Toulouse,France,LOSC Lille,France,?,1990
2212,Fabien Leclercq,France,Centre-Back,LOSC Lille B,France,LOSC Lille,France,0.0,1990
2213,Jocelyn Angloma,Guadeloupe,Right-Back,LOSC Lille,France,Paris Saint-Germain,France,0.0,1990
2214,Christophe Galtier,France,Centre-Back,LOSC Lille,France,FC Toulouse,France,0.0,1990
2215,Henrik Jensen,Denmark,Sweeper,LOSC Lille,France,Boldklubben 1903,Denmark,?,1990
2216,Eric Prissette,France,Sweeper,LOSC Lille,France,Le Havre AC,France,?,1990
2217,Dominique Leclercq,France,Goalkeeper,LOSC Lille,France,Paris Saint-Germain,France,?,1990
2218,Erwin Vandenbergh,Belgium,Centre-Forward,LOSC Lille,France,KAA Gent,Belgium,?,1990
2220,Frédéric Lafond,France,Attack,LOSC Lille,France,LOSC Lille B,France,0.0,1990
2221,Roberto Cabañas,Paraguay,Centre-Forward,Brest Armorique FC,France,Olympique Lyon,France,?,1990
2222,Pierre Chavrondier,France,Midfield,Unknown,N/A,Olympique Lyon,France,?,1990
2223,Gilles Rousset,France,Goalkeeper,FC Sochaux-Montbéliard,France,Olympique Lyon,France,?,1990
2224,Aziz Bouderbala,Morocco,Attacking Midfield,Racing Club Paris,France,Olympique Lyon,France,?,1990
2225,Sylvain Deplace,France,Defensive Midfield,Olympique Lyon U19,France,Olympique Lyon,France,0.0,1990
2226,Mick McCarthy,Ireland,Centre-Back,Olympique Lyon,France,Millwall FC,England,300000.0,1990
2227,François Brisson,France,Left Winger,Olympique Lyon,France,LOSC Lille,France,?,1990
2228,Eugène Kabongo,DR Congo,Attack,Olympique Lyon,France,Sporting Étoile Club Bastia ,France,?,1990
2229,François Lemasson,France,Goalkeeper,Olympique Lyon,France,SM Caen,France,?,1990
2230,Jérémy Sutter,France,Attack,Olympique Lyon,France,FC Gueugnon,France,?,1990
2231,Claudio García,Argentina,Right Winger,Olympique Lyon,France,Olympique Lyon B,France,0.0,1990
2232,Philippe Montanier,France,Goalkeeper,SM Caen,France,FC Nantes,France,?,1990
2233,Stéphane Moreau,France,Defence,Unknown,N/A,FC Nantes,France,?,1990
2234,Jean-Louis Lima,France,Centre-Forward,Racing Club Paris,France,FC Nantes,France,?,1990
2235,Japhet N'Doram,Chad,Centre-Forward,Tonnerre Yaoundé,Cameroon,FC Nantes,France,?,1990
2236,Zoran Vulic,Croatia,Centre-Back,RCD Mallorca,Spain,FC Nantes,France,?,1990
2237,Thierry Fernier,France,Attacking Midfield,Racing Club Paris,France,FC Nantes,France,?,1990
2238,Eddy Capron,France,Centre-Back,Unknown,N/A,FC Nantes,France,?,1990
2239,Christian Karembeu,France,Defensive Midfield,FC Nantes B,France,FC Nantes,France,0.0,1990
2240,Reynald Pedros,France,Left Midfield,FC Nantes U19,France,FC Nantes,France,0.0,1990
2241,Maxime Bossis,France,Centre-Back,Career break,N/A,FC Nantes,France,0.0,1990
2242,Frank Vercauteren,Belgium,Left Midfield,FC Nantes,France,RWD Molenbeek (- 2002),Belgium,?,1990
2243,Patrice Eyraud,France,Defensive Midfield,FC Nantes,France,FC Toulouse,France,?,1990
2244,Antoine Kombouaré,France,Centre-Back,FC Nantes,France,Sporting Club de Toulon et du Var,France,?,1990
2245,Loïc Amisse,France,Left Winger,FC Nantes,France,Angers SCO,France,?,1990
2246,Jean-Sylvestre Auniac,France,Right-Back,FC Nantes,France,Olympique Alès,France,?,1990
2248,Laurent D'Jaffo,Benin,Centre-Forward,Unknown,N/A,Montpellier HSC,France,?,1990
2249,Stéphane Blondeau,France,Right-Back,Racing Club Paris,France,Montpellier HSC,France,?,1990
2250,Clément Garcia,France,Attack,Football Club de Grenoble Isère,France,Montpellier HSC,France,?,1990
2251,Claude Barrabé,France,Goalkeeper,Brest Armorique FC,France,Montpellier HSC,France,?,1990
2252,Jacek Ziober,Poland,Left Winger,LKS Lodz,Poland,Montpellier HSC,France,?,1990
2253,Jean-Manuel Thétis,France,Centre-Back,Racing Club Paris,France,Montpellier HSC,France,?,1990
2254,Philippe Flucklinger,France,Goalkeeper,SC Abbeville,France,Montpellier HSC,France,?,1990
2255,Patrice Garande,France,Centre-Forward,RC Lens,France,Montpellier HSC,France,?,1990
2256,Régis Brouard,France,Attacking Midfield,Rodez AF,France,Montpellier HSC,France,?,1990
2257,Patrick Colleter,France,Left-Back,Brest Armorique FC,France,Montpellier HSC,France,?,1990
2258,Carlos Valderrama,Colombia,Attacking Midfield,Montpellier HSC,France,Real Valladolid Deportivo,Spain,270000.0,1990
2259,Júlio César,Brazil,Centre-Back,Montpellier HSC,France,Juventus FC,Italy,?,1990
2260,Jean-François Scala,France,Midfield,Montpellier HSC,France,FC Lorient,France,?,1990
2261,Samuel Edwige,France,Attacking Midfield,Montpellier HSC,France,FC Martigues,France,?,1990
2262,Albert Rust,France,Goalkeeper,Montpellier HSC,France,AS Monaco,France,?,1990
2263,William Ayache,France,Left-Back,Montpellier HSC,France,OGC Nice,France,?,1990
2264,Carmelo Micciche,France,Centre-Forward,FC Metz,France,AS Cannes,France,?,1990
2265,Bertrand Burnier,France,Defence,Cercle Football Dijon,France,AS Cannes,France,?,1990
2266,Fabio Talarico,Argentina,Attacking Midfield,CA River Plate,Argentina,AS Cannes,France,?,1990
2267,Eric Guérit,France,Defensive Midfield,AS Monaco,France,AS Cannes,France,?,1990
2268,Zinédine Zidane,France,Attacking Midfield,AS Cannes U19,France,AS Cannes,France,0.0,1990
2269,Antoine Martinez,Spain,Attacking Midfield,AS Cannes,France,FC Istres Ville Nouvelle ,France,?,1990
2270,Jocelyn Rico,France,Right-Back,AS Cannes,France,Stade Rennais FC,France,?,1990
2271,Juan Herrero,France,Midfield,AS Cannes,France,FC Tours,France,?,1990
2275,Alain Caveglia,France,Second Striker,FC Gueugnon,France,FC Sochaux-Montbéliard,France,?,1990
2276,Lionel Prat,France,Centre-Forward,Quimper Cornouaille FC,France,FC Sochaux-Montbéliard,France,?,1990
2277,Christophe Gardié,France,Goalkeeper,EA Guingamp,France,FC Sochaux-Montbéliard,France,?,1990
2278,Franck Priou,France,Centre-Forward,FC Mulhouse Sud-Alsace,France,FC Sochaux-Montbéliard,France,?,1990
2279,Eric Dewilder,France,Midfield,SM Caen,France,FC Sochaux-Montbéliard,France,?,1990
2280,Olivier Baudry,France,Defensive Midfield,FC Sochaux-Montbéliard U19,France,FC Sochaux-Montbéliard,France,0.0,1990
2281,Bertrand Piton,France,Centre-Back,FC Sochaux-Montbéliard,France,FC Martigues,France,?,1990
2282,Thierry Laurey,France,Defensive Midfield,FC Sochaux-Montbéliard,France,Paris Saint-Germain,France,?,1990
2283,Éric Lada,France,Attack,FC Sochaux-Montbéliard,France,Olympique Marseille,France,?,1990
2284,Gilles Rousset,France,Goalkeeper,FC Sochaux-Montbéliard,France,Olympique Lyon,France,?,1990
2285,Jean-Marc Frotey,France,Attack,FC Sochaux-Montbéliard,France,RC Strasbourg Alsace,France,?,1990
2286,Wim Kieft,Netherlands,Centre-Forward,PSV Eindhoven,Netherlands,FC Girondins Bordeaux,France,1820000.0,1990
2287,Lamine Sagna,Senegal,Attacking Midfield,ASC Jaraaf,Senegal,FC Girondins Bordeaux,France,?,1990
2288,Krzysztof Marx,Poland,Attack,La Roche Vendée Football,France,FC Girondins Bordeaux,France,?,1990
2289,Philippe Fargeon,France,Second Striker,Servette FC,Switzerland,FC Girondins Bordeaux,France,?,1990
2290,Jean-Pierre Bade,France,Left-Back,Racing Club Paris,France,FC Girondins Bordeaux,France,?,1990
2291,Stéphane Plancque,France,Defensive Midfield,Brest Armorique FC,France,FC Girondins Bordeaux,France,?,1990
2292,Patrick Vervoort,Belgium,Left Midfield,RSC Anderlecht,Belgium,FC Girondins Bordeaux,France,?,1990
2293,Alim Ben Mabrouk,Algeria,Defensive Midfield,Racing Club Paris,France,FC Girondins Bordeaux,France,?,1990
2294,Arnór Gudjohnsen,Iceland,Centre-Forward,RSC Anderlecht,Belgium,FC Girondins Bordeaux,France,?,1990
2295,Pascal Monbrun,France,Left-Back,FC Girondins Bordeaux B,France,FC Girondins Bordeaux,France,0.0,1990
2296,Olivier Petitjean,France,Left Winger,FC Girondins Bordeaux B,France,FC Girondins Bordeaux,France,0.0,1990
2297,Christophe Dugarry,France,Centre-Forward,FC Girondins Bordeaux B,France,FC Girondins Bordeaux,France,0.0,1990
2298,Klaus Allofs,Germany,Centre-Forward,FC Girondins Bordeaux,France,SV Werder Bremen,Germany,0.0,1990
2299,Piet den Boer,Netherlands,Centre-Forward,FC Girondins Bordeaux,France,SM Caen,France,?,1990
2300,Bernard Pardo,France,Defensive Midfield,FC Girondins Bordeaux,France,Olympique Marseille,France,?,1990
2301,Stéphane Paille,France,Centre-Forward,FC Girondins Bordeaux,France,FC Porto,Portugal,?,1990
2302,Jesper Olsen,Denmark,Left Midfield,FC Girondins Bordeaux,France,SM Caen,France,?,1990
2303,Frédéric Meyrieu,France,Attacking Midfield,FC Girondins Bordeaux,France,Sporting Club de Toulon et du Var,France,?,1990
2305,Jocelyn Angloma,Guadeloupe,Right-Back,LOSC Lille,France,Paris Saint-Germain,France,0.0,1990
2306,Thierry Laurey,France,Defensive Midfield,FC Sochaux-Montbéliard,France,Paris Saint-Germain,France,?,1990
2307,Antoine Kombouaré,France,Centre-Back,Sporting Club de Toulon et du Var,France,Paris Saint-Germain,France,?,1990
2308,Dominique Leclercq,France,Goalkeeper,LOSC Lille,France,Paris Saint-Germain,France,?,1990
2309,Richard Dutruel,France,Goalkeeper,Paris Saint-Germain U19,France,Paris Saint-Germain,France,0.0,1990
2310,Gabriel Calderón,Argentina,Attacking Midfield,Paris Saint-Germain,France,FC Sion,Switzerland,?,1990
2311,Thierry Rabat,France,Centre-Back,Paris Saint-Germain,France,Sporting Club de Toulon et du Var,France,?,1990
2312,Thierry Laurey,France,Defensive Midfield,Paris Saint-Germain,France,AS Saint-Étienne,France,?,1990
2315,Frédéric Meyrieu,France,Attacking Midfield,FC Girondins Bordeaux,France,Sporting Club de Toulon et du Var,France,?,1990
2316,Bernard Rodriguez,France,Midfield,FC Sète 34,France,Sporting Club de Toulon et du Var,France,?,1990
2317,Xavier Rhinan,France,Midfield,FC Rouen,France,Sporting Club de Toulon et du Var,France,?,1990
2318,Michel Pineda,France,Centre-Forward,RCD Español,Spain,Sporting Club de Toulon et du Var,France,?,1990
2319,Éric Péan,France,Sweeper,SM Caen,France,Sporting Club de Toulon et du Var,France,?,1990
2320,Philippe Thys,France,Left-Back,Olympique Marseille,France,Sporting Club de Toulon et du Var,France,?,1990
2321,Franck Passi,France,Defensive Midfield,FC Toulouse,France,Sporting Club de Toulon et du Var,France,?,1990
2322,Antoine Kombouaré,France,Centre-Back,FC Nantes,France,Sporting Club de Toulon et du Var,France,?,1990
2323,Olivier De Luca,France,Defensive Midfield,Unknown,N/A,Sporting Club de Toulon et du Var,France,?,1990
2324,Thierry Rabat,France,Centre-Back,Paris Saint-Germain,France,Sporting Club de Toulon et du Var,France,?,1990
2325,Sébastien Soulas,France,Defence,Sporting Club de Toulon U19,France,Sporting Club de Toulon et du Var,France,0.0,1990
2326,Jean-Paul Péronin,France,Defence,Sporting Club de Toulon U19,France,Sporting Club de Toulon et du Var,France,0.0,1990
2327,Frédéric Pons,France,Defence,Sporting Club de Toulon et du Var,France,FC Toulouse,France,?,1990
2328,Gérard Bernardet,France,Attacking Midfield,Sporting Club de Toulon et du Var,France,Nîmes Olympique,France,?,1990
2329,Fabien Debotté,France,Defensive Midfield,Sporting Club de Toulon et du Var,France,SM Caen,France,?,1990
2330,François Vanverberghe,France,Defence,Sporting Club de Toulon et du Var,France,Olympique Alès,France,?,1990
2331,Cyrille Makanaky,Cameroon,Attacking Midfield,Sporting Club de Toulon et du Var,France,CD Málaga,Spain,?,1990
2332,Michel Ettorre,France,Goalkeeper,Sporting Club de Toulon et du Var,France,FC Metz,France,?,1990
2333,John Lammers,Netherlands,Centre-Forward,Sporting Club de Toulon et du Var,France,NAC,Netherlands,?,1990
2334,Thierry Pister,Belgium,Left Midfield,Sporting Club de Toulon et du Var,France,Standard Liège,Belgium,?,1990
2335,Antoine Kombouaré,France,Centre-Back,Sporting Club de Toulon et du Var,France,Paris Saint-Germain,France,?,1990
2336,Alain Couriol,France,Attacking Midfield,Sporting Club de Toulon et du Var,France,Football Club de Saint-Leu,France,?,1990
